area_code	bank_no	branch_bank_name	branch_bank_no	clear_no
7010	102	中国工商银行股份有限公司贵阳鸿通城支行	102701005285	102100099996
7010	102	中国工商银行股份有限公司清镇百花大道支行	102701005523	102100099996
7010	102	中国工商银行股份有限公司开阳西门支行	102701005531	102100099996
7010	102	中国工商银行股份有限公司贵阳世纪金源支行	102701005540	102100099996
7010	102	中国工商银行股份有限公司贵阳贵大新校区支行	102701005566	102100099996
7130	102	中国工商银行股份有限公司营盘支行	102713000651	102100099996
7130	102	中国工商银行贵州省凯里分行	102713005004	102100099996
7130	102	中国工商银行股份有限公司凯里新城西路支行	102713005045	102100099996
5810	102	中国工商银行股份有限公司广州增城石滩支行	102581005794	102100099996
5810	102	中国工商银行股份有限公司广州十三行路支行	102581005892	102100099996
5810	102	中国工商银行股份有限公司广东省分行营业部	102581006004	102100099996
5810	102	中国工商银行股份有限公司广州大石支行	102581015569	102100099996
5810	102	中国工商银行股份有限公司广州嘉禾支行	102581051046	102100099996
5810	102	中国工商银行广东省分行清算中心（不办理对外业务）	102581099996	102100099996
5820	102	中国工商银行股份有限公司韶关分行业务处理中心	102582002184	102100099996
5820	102	中国工商银行股份有限公司韶关南门支行	102582002192	102100099996
5820	102	中国工商银行股份有限公司韶关西河支行	102582002213	102100099996
5820	102	中国工商银行股份有限公司韶关风采支行	102582002221	102100099996
5820	102	中国工商银行股份有限公司韶关东堤支行	102582002230	102100099996
5820	102	中国工商银行股份有限公司韶关北郊支行	102582002248	102100099996
5820	102	中国工商银行股份有限公司韶关松山支行	102582002264	102100099996
5820	102	中国工商银行股份有限公司韶关分行营业部	102582002289	102100099996
5820	102	中国工商银行股份有限公司韶关大宝山支行	102582002297	102100099996
5820	102	中国工商银行股份有限公司韶关韶大支行	102582002301	102100099996
5820	102	中国工商银行股份有限公司韶关碧桂园支行	102582002310	102100099996
5820	102	中国工商银行股份有限公司韶关财中支行	102582002385	102100099996
5820	102	中国工商银行股份有限公司韶关金沙支行	102582002393	102100099996
5820	102	中国工商银行股份有限公司韶关曲江支行	102582006217	102100099996
5820	102	中国工商银行股份有限公司韶关马坝支行	102582006225	102100099996
5820	102	中国工商银行股份有限公司韶关中山支行	102582020112	102100099996
5820	102	中国工商银行股份有限公司韶关西苑支行	102582020129	102100099996
5820	102	中国工商银行股份有限公司韶关新华支行	102582020188	102100099996
5820	102	中国工商银行股份有限公司韶关向阳支行	102582020223	102100099996
5820	102	中国工商银行股份有限公司韶关鞍山支行	102582060753	102100099996
5822	102	中国工商银行股份有限公司始兴支行	102582204219	102100099996
5823	102	中国工商银行股份有限公司南雄支行	102582303215	102100099996
5824	102	中国工商银行股份有限公司仁化支行	102582401211	102100099996
5825	102	中国工商银行股份有限公司乐昌支行	102582508218	102100099996
5825	102	中国工商银行股份有限公司乐昌坪石支行	102582508226	102100099996
5826	102	中国工商银行股份有限公司翁源支行	102582605218	102100099996
5827	102	中国工商银行股份有限公司乳源支行	102582709212	102100099996
5828	102	中国工商银行股份有限公司新丰支行	102582807218	102100099996
5840	102	中国工商银行深圳市分行	102584000002	102100099996
5840	102	中国工商银行深圳市竹子林支行	102584001030	102100099996
3781	102	中国工商银行股份有限公司巢湖居巢支行	102378106883	102100099996
3781	102	中国工商银行股份有限公司安徽省江北集中区支行	102378107407	102100099996
3781	102	中国工商银行股份有限公司巢湖东风路支行	102378122205	102100099996
3781	102	中国工商银行股份有限公司巢湖金巢分理处	102378122272	102100099996
3781	102	中国工商银行股份有限公司巢湖汇豪支行	102378137211	102100099996
3782	102	中国工商银行股份有限公司庐江四牌楼分理处	102378200023	102100099996
3782	102	中国工商银行巢湖市庐江县支行	102378207105	102100099996
3783	102	中国工商银行股份有限公司无为襄安分理处	102378300024	102100099996
3783	102	中国工商银行股份有限公司无为凤河路分理处	102378300049	102100099996
3783	102	中国工商银行股份有限公司无为高沟支行	102378300081	102100099996
3783	102	中国工商银行巢湖市无为县支行	102378307000	102100099996
3784	102	中国工商银行巢湖市含山县支行	102378407303	102100099996
3785	102	中国工商银行巢湖市和县支行	102378507204	102100099996
3790	102	中国工商银行股份有限公司池州分行业务处理中心	102379000015	102100099996
3765	102	中国工商银行股份有限公司舒城大桥支行	102376500022	102100099996
3790	102	中国工商银行股份有限公司池州贵池支行	102379000023	102100099996
3790	102	中国工商银行股份有限公司池州城建支行	102379000031	102100099996
3790	102	中国工商银行股份有限公司九华山支行	102379000040	102100099996
3020	102	中国工商银行股份有限公司无锡阳光花园支行	102302003526	102100099996
3020	102	中国工商银行股份有限公司无锡阳山支行	102302004633	102100099996
3020	102	中国工商银行股份有限公司无锡鸿山支行	102302004668	102100099996
3020	102	中国工商银行股份有限公司无锡百联支行	102302004676	102100099996
3020	102	中国工商银行股份有限公司无锡羊尖支行	102302004692	102100099996
3020	102	中国工商银行股份有限公司无锡观山路支行	102302005040	102100099996
3752	102	中国工商银行天长三圣分理处	102375220206	102100099996
3752	102	中国工商银行股份有限公司天长南湖支行	102375220222	102100099996
3753	102	中国工商银行股份有限公司来安汊河支行	102375302156	102100099996
3753	102	中国工商银行股份有限公司来安支行	102375306000	102100099996
3122	102	中国工商银行股份有限公司宝应宝胜桥支行	102312220042	102100099996
3122	102	中国工商银行股份有限公司宝应城北支行	102312220067	102100099996
3122	102	中国工商银行股份有限公司宝应城郊支行	102312220075	102100099996
3123	102	中国工商银行靖江市支行	102312312011	102100099996
3123	102	中国工商银行靖江城南支行	102312312020	102100099996
3123	102	中国工商银行股份有限公司靖江城北支行	102312312038	102100099996
3140	102	中国工商银行镇江市中山支行	102314008007	102100099996
3140	102	中国工商银行股份有限公司镇江丹徒支行	102314008023	102100099996
3140	102	中国工商银行股份有限公司镇江南徐支行	102314008031	102100099996
3140	102	中国工商银行股份有限公司镇江江苏大学支行	102314008058	102100099996
3140	102	中国工商银行股份有限公司镇江高资支行	102314008517	102100099996
3140	102	中国工商银行股份制有限公司镇江东门支行	102314008816	102100099996
3140	102	中国工商银行股份有限公司镇江五条街支行	102314008849	102100099996
3140	102	中国工商银行股份有限公司镇江京口支行	102314008857	102100099996
3140	102	中国工商银行股份有限公司镇江花山湾支行	102314008873	102100099996
3140	102	中国工商银行股份有限公司镇江象山支行	102314008881	102100099996
3140	102	中国工商银行股份有限公司镇江北门支行	102314008890	102100099996
3140	102	中国工商银行股份有限公司镇江朱方支行	102314009000	102100099996
3140	102	中国工商银行股份有限公司镇江丁卯桥支行	102314009026	102100099996
