张凯(00:00:02): 刚刚讲到哪里了，就是热敏灸它那个系统它就是你设置线的时候你可以选设置模板？

邵冬(00:00:02): 要不要设置满减？

邵冬(00:00:21): 就是你刚才说到几个逻辑条件，一个是满减一个适用范围适用门店就是这个这些筛选项，这个只要你前面有逻辑都好办，就是怕你后面增加一个需要的逻辑。

夜航星(00:00:28): Than. 

张凯(00:00:33): M. 

夜航星(00:00:39): 那我先给个比较通用的，就是把逻辑尽可能考虑进去，先出一版先还在改。

邵冬(00:00:45): 先出一版吧，先出一版。然后你们用起来了再说。

张凯(00:00:46): 是用对，因为因为因为像你刚刚讲的太细的，其实我们目前。遇到的少不多？

邵冬(00:01:02): 我们这个现金券 OK 了折扣券是不是同样的逻辑，你你细想一下看。

张凯(00:01:11): 我不知道我们的逻辑是怎么样子的，反正我觉得是现金券的逻辑最简单，因为因为我。

夜航星(00:01:15): 不就通用设计100先就包括现金券和折扣券。

邵冬(00:01:22): 因为因为因为张总你也不是做销售的，要不就是先让谢工还是按照谢工这个逻辑先做一版，然后做出来了以后他们用了销售人用了，等他们叫了再说。

张凯(00:01:37): 现在逻辑我清楚，我是不知道怎么实现。

邵冬(00:01:37): 你现在问问他们要你现在问他们要逻辑，他们嫌你烦。你那你现在待定是有一个现金折扣，还有一个什么券？

张凯(00:01:56): 要么去。

邵冬(00:01:59): 项目券是什么概念，就只有 M. 

张凯(00:02:01): 项目券就是因为因为现金券它是可以抵钱？

夜航星(00:02:07): 这块项目券其实也可以归到现金券那一类，按照我抽象出来的逻辑。

邵冬(00:02:14): 会有个范围的天地嘛？

张凯(00:02:14): 是对按照刚刚那几个逻辑判断的话，其实它俩是同一个东西。

夜航星(00:02:24): 对对对！

邵冬(00:02:24): 那无非就是限定在某一些项目里面能用，也是某种意义上的现金券。

张凯(00:02:26): Yeah. 对。

夜航星(00:02:33): 那这块我先设计一把，先看看效果。

张凯(00:02:38): 我不知道在开单的时候怎么去引用这个东西，我因为我觉得现金券最好引用它直接提取出来就抵钱就好了，项目券也简单提取出来，直接做服务单就好了。折扣券最复杂！

夜航星(00:03:03): 沈风现在也是提起出来打字。

张凯(00:03:07): 因为是一个是减法，一个是乘法嘛，然后。

夜航星(00:03:13): 这没什么区别。

张凯(00:03:23): 基本上订单就是要增加一些标签，增加个券，然后但是我们订单还分为内部员工的单，它的价格不一样，怎么解决？

夜航星(00:03:39): 内部员单内部员工的单他是一直是消费者是内部员工吗？还是什么意思？

张凯(00:03:46): 对消费者是内部员工，然后因为我们是给优惠员工自己买，或者说员工的家属买是有折扣的。

夜航星(00:03:56): 这个有定好折扣是多少吗？还是说统15折，这可以统一放到开单的优惠里面？

张凯(00:04:01): 有统15折。

夜航星(00:04:12): 反正店长要审批的。就让他们都走开，就是员工端开单那个流程。

张凯(00:04:12): 对。

张凯(00:04:26): 开单的流程，对是要走流程。

夜航星(00:04:28): 那就让他们线下去认定！

张凯(00:04:34): 折扣的方折扣的计算在哪个环节我不太清楚，你可以考虑一下。

夜航星(00:04:42): 开单的时候，然后不是每个子项都有优惠金额吗？能把优惠金额填成一半手动填对。

张凯(00:04:48): He. 就是手动填一下？

夜航星(00:04:56): M. 就那个逻辑分支不能做那么多了，做那么多，可能会影响整个体验。

张凯(00:05:09): 可以反正怎么高效怎么来，顾客类别对顾客类别，顾客的类别那员工的。

张凯(00:05:21): 员工的家属还要算一个类别。

夜航星(00:05:26): 员工的类家属可以让他们在开单的时候自动去判断嘛，就开单的人去判断。店长去审核订单？

张凯(00:05:38): 开单的人。他审核了他能，那他要选吗？是给他选项吗？还是怎么样？

夜航星(00:05:48): 不选就是那个线，就是这个人是员工或员工的家属的话，那优惠就给他优惠掉一半，然后店长审批的时候就他线下确认一下这个确实是员工或员工家属，然后就把这个单给审批通过了。

张凯(00:06:09): 要把这个单打一个标记，就是因为我们后面导出来分析数据的时候，我们会把这一部分数据剔除掉。

夜航星(00:06:13): 打一个标记理解。

张凯(00:06:22): 包括后面分析顾客也是他都不算顾客，就是你得给他有一个标记，以便后面比如说提取顾客数量计算顾客会员等级，这些都是不计入顾客数量的。

夜航星(00:06:40): 行，那开单的时候再增加一个单的类型，比如叫什么内部单，然后自动给半价。

张凯(00:06:47): 内部的对你对可以的。

夜航星(00:06:53): OK。

张凯(00:07:07): 其他暂时我想不出来了。

夜航星(00:07:10): 还有就体验单这块好像没有对应的产品表。

张凯(00:07:19): 体体验单你指的是指哪个单？

夜航星(00:07:24): 我看到那个数据库里面有一些什么9998那种套餐我对。

张凯(00:07:33): 99，98你你指的是可售项目清单里面吗？

夜航星(00:07:41): 不是不存不属于那三个，但是他是我是从售前的护理单的那个数据表里面看到的，然后它有个拓展卡。

张凯(00:07:55): 他这个是什么哈，他是我们是这样子的，我们是比如说推广部这个部门。他是卖卡的，这个过程中顾客就是顾客买了卡那种体验卡，它里面可以体验四次嘛，比如他卖68块钱的卡，99块钱的卡，100块钱的卡我们会设置很多。

夜航星(00:08:21): 对。

张凯(00:08:23): 像邵总讲的可能很多，为了吸引顾客的那种便宜卡，但是这个环节的时候，顾客他还没有成为我们的会员甚至。他只是买了一张卡，登记了一下，那它是属于我们的潜在客户，他可能以后会成为我们的客户，因为他没有购买疗程，他只是买了一个体验卡。

张凯(00:08:51): 那这种的话就是我在沃克范上是让前台录的。体验顾客档案就是我把它和真实的顾客档案分成两个表单了，然后如果这个顾客后面要购买疗程。

夜航星(00:09:09): M. 

张凯(00:09:15): 前台就会把体验顾客档案修改成普通的顾客档案，然后他开单的时候才能提取到顾客。就是我把这些还没成为顾客的人，我也给他弄了一个体验顾客档案，先登记一下，这个池子里面的人，他是开单的时候是选不到这些人的。

张凯(00:09:43): 前台要先把体验顾客档案修改成普通的顾客档案，然后开单的时候才能提取到它。就是看看这个过程能否比如说自动实现，还是说我们有什么更好的方法，因为我原来想过能不能开完单，这个顾客他自己就变成了。

张凯(00:10:11): 体验单体验顾客档案就删掉了嘛，就清掉了嘛，就生成了一个普通的顾客档案，但是我**作了一下，我觉得好麻烦，又要回血，又要什么删除的，我懒得搞了，我就我让他们那个。

张凯(00:10:28): 我让前台自己去体验过档案里面去修改状态。修改之后，就自动给他旧表单删掉了。

夜航星(00:10:33): 理解那这块他们的。这块的销售是不用考虑进去，就是体验卡的这种体验卡的销售。

张凯(00:10:47): 它属于推广部的他属于推广部的人效，但是他的收的那个钱，比如说68块钱99块钱，他是不计入业绩的。

夜航星(00:11:09): 理解相当于小程序里面也不需要有对应的商品。

张凯(00:11:21): 对应的商品。

夜航星(00:11:23): 就比如说不需要在那个什么。就不需要有个商品，然后写着什么酒酒吧体验卡。

张凯(00:11:28): Hu. 对是成为会员之后就不卖了，我们现在不管是烧神还是开单都可以不用看到这些。

张凯(00:11:47): 他只是针对刚注册的那些顾客，或者说推广部在线下地推发卡的时候登记了顾客电话的。

夜航星(00:11:59): 护理单这块要建建护理单吗？就是体验卡。

张凯(00:12:09): 要件内，你看 wifi 里面它有一个体验护理单，为什么，因为它会影响美容师的手工费。

夜航星(00:12:11): Huh. 

张凯(00:12:23): 所以就看你这边有什么好的方式或者逻辑可以给他清理一下的，我感觉我之前弄的还是有点复杂的。

夜航星(00:12:38): 按照我的理解就员工去选顾客的时候。

张凯(00:12:49): 可以选得到的。

夜航星(00:12:50): 没必要做这种区分吗，对像比如说他从微信进来的，那目前是从微信进来的，都可以选择。

夜航星(00:13:04): 他从微信顾客端去注册了一个账号，然后绑定了门店那现在员工端这边就可以选到这个人了。

张凯(00:13:15): 对正常是你这个逻辑，原来我在 workfire 为什么要区分两个，因为我不想把我的顾客档案导出来，噼里啪一大堆，有可能有一半是。

张凯(00:13:28): 登只登记了姓名和电话还没消费的顾客，所以我就单独给他们区分开了。

夜航星(00:13:35): 那现在可以就是小程序，这边就直接合并了，可以吗？

张凯(00:13:42): 可以合并，因为我们现在有会员和非会员的区分嘛，对我导出来，我把非会员删除掉就因为有了有这个判断条件嘛。

夜航星(00:14:08): 然后体就是这种体体验单的，我这边处理逻辑就是创建一个体验单类型的订单，然后护理单就是正常走。

张凯(00:14:23): 物理单正常走。

夜航星(00:14:25): 对护理单会跟订单里面的指向去绑定起来，然后指向如果是体验的那个护理单就会变成一个售前。

张凯(00:14:39): 他如果体验李燕丹，但是体验单他只。

夜航星(00:14:46): 不对想差了。我刚才想岔了。

张凯(00:14:53): 那些。就是你设置的那个体验单是用于你讲的这个时候68块钱99块钱这些卡的，那我明白了，因为我之前还没理解为什么有一个正常单一个有体验单？

夜航星(00:15:09): 是的。对。

张凯(00:15:19): 那他的项目就不对了，那他的项目体验单是不可以开这种正常项目的，因为因为体验你可以看一下寿险登记表，它只有什么68块钱99块钱100块钱这种卡。

夜航星(00:15:27): 这样那体验单是什么项目？是的。那我把体验单这块去掉。

张凯(00:15:52): 那在哪里实现？

夜航星(00:15:58): 那就比如在员工端里面加上这些体验单的商品列表。

张凯(00:16:08): 你看上商品列表开单是在同一个地方开不？

夜航星(00:16:12): 在同一个地方开。就把他们当做单独的商品。

张凯(00:16:20): 那他的逻辑是开单的时候就要先选择这个是什么类型的单是这个逻辑选择了先把这个判断出来，然后才能判断能不能选到项目。

夜航星(00:16:27): 对。是的。

张凯(00:16:40): 比如开售前体验单，那就只能卖那种体验卡了什么68，99。

夜航星(00:16:45): 是的。

张凯(00:16:53): 就相当于把他们可以合并了。

夜航星(00:17:02): 他也是先选，然后再填订单的类型，现在没有体验单，就相当于只有正常单和内部单两种。

张凯(00:17:21): 延展类型。术前单你的意思把他们放在同一层级选还是说分层次选吗？

夜航星(00:17:35): 我们现在不是有促销方案，然后护理项目就这些类别，再加上一个体验卡类别。

张凯(00:17:48): 它是属于它是属，那你后面讲的这几个它是属于子项目去选项目的这个范畴了，然后前面讨论的那个它是属于主表的范畴。

夜航星(00:17:59): 对。我是觉得一个客户到店了，就他会不会有这种情况，就是他到店，他选了一个体体验卡，然后再选另一个项目。主要没去过那种美容院，我是按照足浴去理解的。

张凯(00:18:26): 会有他如果当天如果他当天那个消费了，那可能这个顾客一天存在两个单，比如说我之前没有去美容院消费过，我今天买了一个他在门口卖的那个体验卡，那就属于体验单那个体验单嘛。

夜航星(00:18:39): 对。对。

张凯(00:18:52): 那我觉得去体验了，我觉得可以，我又消费了个2000块钱的套餐，那就是普通单。所以这个单要分两次开。

夜航星(00:18:59): 那这样就是体验卡，我让他不可以加入购物车，只可以直接下单，然后体验卡下了单，他默认就是体验单。

张凯(00:19:19): 对。

夜航星(00:19:21): 跟促销活动差不多的处理。

张凯(00:19:28): 促销活动还是属于普通单里面的子项就是我开了普通单之后，我是选择产品还是选择疗程项目，还是选择促销方案？

夜航星(00:19:34): 促销活动。

张凯(00:19:45): 他就属于又属于下一级了嘛？

张凯(00:20:19): 女下要清晰多了。

张凯(00:20:27): 目前逻辑就是开单，然后选择销售单还是回款单还是转换单，假如选择了销售单之后还要选一下。这是体验单还是普通单还是内部单是分这三种，然后体验单的话就只能选择那几个那几张便宜卡68块钱的99块钱的，然后如果是普通单的话，就选择就有好多选择了家居产品促销方案，然后。

夜航星(00:20:48): M. 

张凯(00:21:04): 护理项目，这些都可以供选择，对那就清晰了，然后体验他还。

夜航星(00:21:07): 对。

张凯(00:21:17): 以验单。体验单对体验单也要选择员工。选择员工。

夜航星(00:21:40): 体验单他员工就是开单的那个员工？

张凯(00:21:47): 然后你说到我们后面不是有一个计算员工提成的美容部和推广部的它的计算逻辑还不一样，因为因为美容部，它都是提成推广部它还有一个卡数。

夜航星(00:21:54): 我有看到对。数卡数。

邵冬(00:22:08): 推广部还有卡数？

张凯(00:22:10): 有你你可以看一下那个圆形图。他的卡数就是和根据这个体验单来的。

夜航星(00:22:15): 然后卡树。

邵冬(00:22:17): People. 推广部不是阶梯提成吗？你怎么现在又有卡数了？

张凯(00:22:31): 有你看那个圆形图，它是有两种，它是一个提成一个卡金，比如说68块钱，你给他算提成，你怎么算的，你算10%就是六块八了。

邵冬(00:22:41): 你推广部的？

张凯(00:22:48): 这种体验单就是直接给他发发发那个卡金的，比如68块钱就发40块钱。

邵冬(00:22:57): 那你这个推广部的提成是要分两种模式的一种是按照销售的卡金，然后算点数，还有一种是按卡数来提的，所以你这个推广部的这个提成系数表示要单独拎出来，你上次也没说，我就给你做了个阶梯提成。

张凯(00:23:04): 塔金。

张凯(00:23:19): 你提成没问题吗？

邵冬(00:23:19): 那你。那你提成也是人家的，那你算什么？

张凯(00:23:28): 如果你按之前的他们开发的，他们是解决不了这个问题的，但是像刚刚谢总那个谢总讲的那个，我开单的时候我就确定好，就是体验单还是普通单，刚好这个体验单就是符合推广部的那个卡数奖金的。就把这个问题解决掉了，刚好。因为原来他们团队的逻辑是在销售单以外，再搞一个寿险销售单就卖卡，这个卡就跟推广部绑定起来。

夜航星(00:24:09): 那这个卡卡金的分成是让门店经理直接填数还是怎么弄？

