夜航星(00:04:59): 东哥你要不要叫一下张凯？

邵冬(00:05:02): 我在叫我在打他电话跟昨天跟他约了9点钟。

夜航星(00:05:07): 好好。

邵冬(00:05:41): 那你待会儿共享屏幕还是怎么样，他共享屏幕，他说。

张凯(00:06:31): 听得到不。

夜航星(00:06:36): 可以听到。我发一下我今天这边就是要讨论的议程。

夜航星(00:07:05): 那现在开始还是怎么说，那先说一下管理后台使用反馈吗？

张凯(00:07:09): 我共享一下屏幕。

夜航星(00:07:20): 好。

张凯(00:07:32): 我现在就是在登录这个后台，我看了一下我先反馈一下这个商品管理，因为他怎么退掉了？因为它也关联到后面的东西，就从它开始商品管理这里。第一个点新增商品的时候，它品相分类好像。

张凯(00:08:09): 品相分类首先品相分类和这个套餐，它好像它两个不是同1级别的不能放在一块去选吗？因为因为套餐里面它可能包含了很多皮下。

夜航星(00:08:16): 我这边是这么设计的，那它品相分类这边如果是福利活动，这边套餐就锁定是那个四套餐。

张凯(00:08:27): 但是它套餐里面它有子项嘛，它子项有不同的品相！

夜航星(00:08:44): 指向有不同的品相是这样，因为我们数据库存就是存储结构的关系，就是我们现在定的是。

张凯(00:08:49): 比如说。

夜航星(00:08:59): 定的是套餐的话就不能加入购物车，只能直接下单，然后这样的就是订单底下就会有多个商品这种结构。然后。

张凯(00:09:17): 订对订单是订单之下是有多个商品嘛，但是套餐它里面，它涉及到不同的品相会跟提成挂钩，就比如说一个套餐里面它可能又包含了安迪丽又包含了圣元养心又包含了科颜美？在里面是不同的价格对应着美容师不同的提成。

夜航星(00:09:44): 提成是根据销售分类来的。

张凯(00:09:49): 销售分类。对我对，但是。是根据销售分类来的，但是一个套餐它可能有好多销售分类。因为因为销售分类和品相是关联的？

夜航星(00:10:03): 我明白就相当于销售分类要选这个字段要给到一个商品底下的规格。

张凯(00:10:20): 对和品相都是它都要它都属于子项的一个属性。

