夜航星(00:04:15): 哈张总，那我就不上了。那怎么说，你你这边那个共享屏幕。

张凯(00:04:18): 在的。

夜航星(00:04:27): 试着操作一下，然后我们再讨论哪里有问题。

张凯(00:04:36): 我共享一下，马上。

夜航星(00:04:40): 好。

张凯(00:05:17): 119。

张凯(00:05:33): 诶会议号是多少？我怎么看不到嘞？

夜航星(00:05:35): 那个链接？

张凯(00:05:40): 我电脑要登一下。

夜航星(00:05:42): 我发现会议号是我看一下我这边截我发一下，重新发个邀请给你吧！

夜航星(00:05:58): 我翻车。

张凯(00:06:12): 119961我找到了。

夜航星(00:06:44): 你就承认在你这里，陈在？

张凯(00:06:53): 可以看到屏幕？

张凯(00:07:13): 商城管理你是什么逻辑，我没太搞明白。

夜航星(00:07:19): 我们要不从商品管理开始讲点到商品管理那边商品管理它其实是你们对内的一个商品嘛，然后最右边它的那个分类是从最右边的品项分类开始。

张凯(00:07:25): 发烧商品管理。

夜航星(00:07:41): 品项分类点进去就相当于你们内部用来管理这些产品的一个分类。

夜航星(00:07:52): 就是右上角那里，新德品阳边上那个品项分类对这是两层，就你们内部使用的一个分类。

张凯(00:07:56): 这里是这是我们？

夜航星(00:08:04): 是可以编辑的两两层都可以编辑。

张凯(00:08:10): 我知道。

夜航星(00:08:12): OK 然后再返回的话，然后这些一条一条的记录就是。具体的商品就是你们库存里面对应的那些东西。或者说你们实际实施的服务？

张凯(00:08:39): 这边。实际的服务。

夜航星(00:08:44): 对。

张凯(00:08:46): 然后嘞？

夜航星(00:08:47): 然后我们到商城管理那边三层管理，比如说第一条是我之前编辑过的，可以打开详情看一下。然后这是一个套餐，就是可以多组 M 选 N 它的方式。

张凯(00:08:55): 这个我试过它里面可以添加规格，然后可以选。

夜航星(00:09:07): 对规格就是从刚才的商品管理那边选过来的是？

张凯(00:09:12): 这个我觉得很 nice，就是可以添加分组，然后每个组里面可以选规格，我觉得这个就可以，然后可以解决我们那个套餐的问题。

夜航星(00:09:31): 对你你这些描述我这边肯定就得落地，让自对。

张凯(00:09:36): 我明白，但是我没搞明白的就是商品管理和商城管理之间他们的一个关系。

夜航星(00:09:41): 你说。商城管理这边存都是对应对外展示和对员工下单展示的就商城管理它右上角它也有一个分类。

夜航星(00:09:59): 分类就对应我们商城里面目录。这也是可以两层可以编辑的。

张凯(00:10:07): 然后我有一个疑问就是因为你说到目录，但是我们目录是有两个，一个是顾客端首页它有一个排版。

夜航星(00:10:14): 目录两个是什么？对。

张凯(00:10:22): 然后开单的那一页它又有一个排版？

夜航星(00:10:26): 对。

张凯(00:10:27): 那这个是关联哪个排版？

夜航星(00:10:31): 两个排版都跟关联。

张凯(00:10:35): 跟这个。

夜航星(00:10:36): 对分类都是根根据这个分类。然后你这上次说它们的区别是否展示嘛？

张凯(00:10:50): 我截个图我，我登录进去截个图出来。

夜航星(00:10:57): 我们小小程序那边就是这部分还没更新完，所以现在两块的逻辑，现在还不是很匹配。

张凯(00:11:08): 一个是你看是我们首页原来在的位置只有一个排版。然后。我顾客单没有？然后再一个员工的我截两个图发出来！

张凯(00:11:43): 这里有一个排版。

张凯(00:11:56): 是我发了两张图到群里，第一张图是顾客端嘛，顾客端它首页有一个展示？

夜航星(00:12:07): 对。

张凯(00:12:08): 然后第二张图是员工端开单，这里它有一个排版嘛，然后我就是我是想问我们这个商城管理是跟这两个都关联吗？

夜航星(00:12:13): 对。对这两个都用商城管理这一套。

张凯(00:12:24): 两张大。

夜航星(00:12:25): 他们商品上次说是根据是否展示字段来判断，要不要展示在顾客端的商城上面。

张凯(00:12:41): 也就是说员工开单能够选取到的项目和顾客在小那个在小程序上能看到的项目都是在商城管理里面。

夜航星(00:12:53): 对他们去。

张凯(00:12:55): 如果我商城分类改掉了，那么员工开单分类也会变掉吗？

夜航星(00:13:03): 是的。

张凯(00:13:04): 因为我们原计划员工开单是不变的。

夜航星(00:13:11): 是这样，就是两边不同步的话。

夜航星(00:13:24): 实际存到数库里面的，他们的字段会对应不上了。

张凯(00:13:28): 对应不上。

夜航星(00:13:32): 对他们相当于就有两个数据来源。

张凯(00:13:38): 那有一个问题，那如果因为我们顾客端的首页，它那个排版，它会，他会经常取一些花里胡哨的名字了，然后他和我们实际后台的数据也就是。员工开单分类也会跟着变就挺奇怪的。

夜航星(00:14:02): 我想一下！

张凯(00:14:04): 因为因为你看，因为我们员工开单，其实我们就是分了四大类，一个福利活动，一个护理项目，然后一个家居产品和一个充值卡。我们所有的产品都是局限在这四类里面就是对也不。

夜航星(00:14:17): 对。是这样的，就我之前想的是，就如果你做的两边不一样，那用户说他点开想说我要这个，然后你又开单开不出来，那不是很尴尬。

张凯(00:14:37): 对我们那个项目基本上分为这四大类说比如说护理项目里面，它可能有一些。从不同的品牌，我们是计划的说员工的这个分类它是不变的，它始终就只有这四大类，然后顾客端的话其实也是这四大类说。他不会叫这个名字，他不会叫什么福利活动护理项目，因为他可能有时候他会他不会去改商品的规格，他只是会分类重新分一下，比如说。他给他把面部的展示到一块儿头部的展示到一块儿身，身体的放到一块儿去，它是这样子的，但是它其实项目是同一个东西。

夜航星(00:15:26): 我理解，其实他们两个是等价的东西都是对应的都有。那你不会觉得就是员工操作界面和客户操作界面更一致一点。

夜航星(00:15:44): 会好一点，他们方便上下文可以同步起来，不然你员工不知道顾客说了啥？

张凯(00:15:48): What. 一致的话就会那顾客端去展示不同的分类，就会打乱我们后台的分类！

夜航星(00:16:05): 不会不影响的就是后台的分类是，就是现在是这样的，员工那边下单他下单这些产品他有指向我们指向的分类是不变的。

张凯(00:16:21): 指向的分类是不变的。

夜航星(00:16:21): 指向的分类是按照品相的分类来的。就你比如说点进第一个组第测试大礼包？

夜航星(00:16:44): 这里面有一条条的指向嘛，指向的分类是固定的？

张凯(00:16:47): 母项的分类是固定的？

夜航星(00:16:57): 对指向分类是根据商品管理那边来管理的。它属于哪个品项？

张凯(00:17:16): 它属于哪个品项？

夜航星(00:17:19): 你你可以查一查。

张凯(00:17:21): 它的品项是。

夜航星(00:17:24): 对从这里选的？

张凯(00:17:28): 这里给它分类？

夜航星(00:17:29): 对。

张凯(00:17:34): 这里给他。这里。意思员工的界面不会变？

夜航星(00:17:49): 员工的界面他会跟到时候我们不会根据这个 type 来了，还是会跟客户那边的目录一样？

张凯(00:18:06): 到后面。

夜航星(00:18:07): 就是你我是觉得员工这边的操作跟客户那边保持一致会比较好，不然用户可能说我要这个员工可能他又要去好几个地方。拉数据把一个指向找出来。

张凯(00:18:28): 他不用找，我们都是老顾客，他一讲我就知道是哪里了。

张凯(00:18:41): 员工的开单的，他也是根据商城管理来的吗？

夜航星(00:18:47): 对。

张凯(00:18:49): 根据商城管理来根据这个分类来吗？没有，这里没有分什么福利活动和。

夜航星(00:18:53): 对。这个是我暂时给他建的数据，因为这些数据都可以，你们到时候可以填上去的。

张凯(00:19:10): 但是。

夜航星(00:19:11): 右上角的商城分类这里可以填上去？

张凯(00:19:14): 但是他们不能放到一块去展示他们俩不能联动！

夜航星(00:19:21): 不能联动啥意思？

张凯(00:19:23): 就是你理你，你可以理解为做销售的，他的跳跃是很活活动的他可能首页他有时候不想展示其他的东西，他可能就是某一个季节，他只展示那一类的东西，他只展示到这个首页嘛，能看到我这个图片哈，但是。

张凯(00:19:44): 他随便怎么掰扯他，绝对不能影响员工开单和的。

张凯(00:19:52): 就我表达清楚不？

夜航星(00:19:55): 清楚。我。

张凯(00:19:58): 因为我们的商品都是分为这个四大类，里面还有不同的品项，比如说护理项目，比如说商品管理里面，你看漫之语。它又有护理项目，它又有家居产品，所以员工开单基本上可以固定在这四大类里面。然后顾客端的话，它就是根据跟业务部那边，他们营销活动的节奏嘛，他可能这个季节展示可能夏天的时候专门展示洗脸的，然后或者说秋天的时候专门展示做什么养生做灸这一类的。

夜航星(00:20:45): 我理解你的意思。

张凯(00:20:46): 它分类它可能会取不同的名字。把两个关联起来的话，它就会打乱我员工端的一个分类。

夜航星(00:20:59): 在员工端分类它也变了，它也是会变化的，那就员工端分类，还就按照商品管理那边品项分类来，然后员工端它。

夜航星(00:21:15): 它就是针对具体的指向去创建订单。

张凯(00:21:22): 具体的指向是指啥？

夜航星(00:21:27): 拒绝指向，就比如说他这样的区别就是商城管理那边客户，他比如说想买一个某某某服务，然后他点开这个产品，它里面可能有单次10次这两项。

夜航星(00:21:46): 我们淘宝购物一样去选规格，它员工端不是会变成两个商品，一个是一次卡，一个10次卡，它两个商品。

张凯(00:21:48): 对。它没有办法合并到一块，那可以不合并。

夜航星(00:22:02): 没有没有办法。那可以的。

张凯(00:22:14): 对因为因为这样区分开就是为了避免他业务部他做营销活动，他老是去改分类。

夜航星(00:22:22): 或者我商城管理这里再给你加个分类项怎么样，因为比如说像组合产品这种组合套餐。

张凯(00:22:23): 然后我们需要？

夜航星(00:22:38): 会涉及到多个品项。

张凯(00:22:41): 然后啥意组合项是啥意思？

夜航星(00:22:52): 我觉得我刚才说后一种方式可能更好一点，就在三层管理再加一个分类。

