张凯(00:09:56): 因为有的人。

夜航星(00:10:34): 开始了不。

夜航星(00:12:24): 喂张总。

张凯(00:12:30): 在谢工！

夜航星(00:12:33): 开始！我这边讲也可以。

张凯(00:12:36): 是要我跟你讲？你你你先讲一下你你看完那个文件的疑惑。

夜航星(00:12:46): 我找一下文件，稍稍微等我一下。

夜航星(00:13:25): 这个文件是不是没发在群里 OK 我找到。共享一下屏幕。

张凯(00:13:57): 是这我之前没有发群里之前发给邵总的。

夜航星(00:13:58): 对。好好。就这边他就各种权益，基本上有一个原原则，就是我们只能给他系统里面的有已经有的实体。不能凭空变出一些东西，第二个原则是不能给一些模棱两可的东西就不能有这种操作。这代码上这没法写！整体上按等级去等等级的变动，然后还有日期，这些日期去设定一些。优惠券或者积分的分发这个是没有问题的。

夜航星(00:15:19): 然后我们会员等级这边按照上次你那边提供的说明它可能会有点问题，我们会员等级是按照过去12个月进行移动计算的。这就会有个问题，就是随着它时间的移动，它会出现一会儿没了一会儿又刷出来这个等级。

张凯(00:15:39): 对滚动计算的。

夜航星(00:15:50): 会出现这种情况。他等级会频繁的刷出来。

张凯(00:15:54): 它是。他是跟会频繁的刷吗？

夜航星(00:16:02): 对比如说，我刚好卡在这个1万元这个线上，我的过去12个月消费的钱大概差不多卡在这个线上，然后我很可能这个月我比如说过5天过10天消费个500，然后下次消费个2000那500的情况下，我可能就跑到1万以下了，然后又再消费两两千，那过去12个月就跑到1万以上了。频繁的刷出来等级变化。

张凯(00:16:39): 对他等级就是跟着他的消费升级的！

夜航星(00:16:43): 那不是我们刷一次就得给他刷一次权益？

张凯(00:16:48): 刷一次你的说他原来比如说他是贵宾，这个档我给他发完了，他到铁粉又发一次？

夜航星(00:16:50): 他可能是这样，他月初是贵宾，然后他过几天因为移动计算，过几天他掉下去了。然后过几天他又消费了一笔大的他，他又变成贵宾了。

张凯(00:17:10): 不是按年度滚动吗大哥？

夜航星(00:17:18): 你不是按12个月吗？

张凯(00:17:20): 对。

夜航星(00:17:22): 每年算一次还是怎么回事？12月滚动？

张凯(00:17:27): 他这个级别是 Hello. 

