夜航星(00:08:30): Hello hello 张总听到，那你们这边是数据中心会后有什么文件吗？

张凯(00:08:34): 听得到，听得到。

张凯(00:08:59): 对的关于数据中心的我们讨论出了那个内容就跟你过一下。等一下，我登一下电脑。

张凯(00:10:06): 看得到我屏幕哈，目前我们就是把数据中心分成。

夜航星(00:10:08): 可以的。

张凯(00:10:18): 分成几类，一类是关于客量板块的就是我们这边那个小群，它是按照就把这个当成一个页面来。来模拟画出来的嘛？

夜航星(00:10:36): 对。

张凯(00:10:36): 然后要展示几个数据一一类就是上面的像和那个页面一样的了，就直接展示这些字段。然后再往下就是明细区域，主要是一个页面就划分成这两个板块，然后上面就是有快捷按钮了，比如说选今日本周本月，今年，然后也有那个时间具体的筛选。

张凯(00:11:11): 筛选周期。然后自动字段就是那个小群你要讲解一下，比如说会员注册人数或者是每个板块的人数是怎么理解的？

贺东群(00:11:35): 会员板块的注册人数就是我们一个顾客单笔消费满1990，然后就在这儿统计。

张凯(00:11:46): 那就是达成会员的人数？

贺东群(00:11:49): 对这就是会员嘛，然后有效保有会员也是在会员的基础上，然后他这三个月有来的嘛，就是前三个月有来，然后本月一次到店有多少二次到店的，有多少人是这样子的，就是这些数据都是在会员的基础上提取。

夜航星(00:12:19): 然后同比环比是都要算吗？

夜航星(00:12:31): 我没有还。

张凯(00:12:32): 那后面这三个，比如说沉睡冰冻，休眠就可以，其实就是把那个汇总过来把。我记一下页面号。

夜航星(00:12:53): 我改成了尾号4944。

张凯(00:12:58): 比如说他就是把这个顾客管理在哪里？小熊你看一下是不是直接相当于把这一类的汇总过去？

贺东群(00:13:12): 等一下，我看一下。

张凯(00:13:14): 对因为这里有保有会员有效，然后沉睡，冰冻休眠。

贺东群(00:13:20): 是实时更新的截止上个月的？

夜航星(00:13:26): 实时更新。

贺东群(00:13:29): 如果实时更新的话，那我想看当月有激活人数它能体现吗？还是直接它就变成了另外一个数据板块？

夜航星(00:13:41): 当月激活人数，月度客活点下来。

张凯(00:13:48): 大哥。

夜航星(00:13:50): 激活是啥概念，好像跟之前概念不太一样。

