夜航星(00:00:02): 不会我自个感觉问题没有说这样估计半个月要折腾，没有像他那么快想象的那么快。

张凯(00:00:11): 哈哈哈半个月。

夜航星(00:00:13): 对挺快，张总昨天发的那些 bug 我昨天晚上改了我自己稍微测了一下，应该都是门店的那个问题。

张凯(00:00:30): 店长的我早上我也大概看了一下，因为我其他事就是没有很细的一些细节，我还没有看好像。

夜航星(00:00:32): 流程能走通吗？昨天卡住的那些流程。

张凯(00:00:46): 流程的话能走通？

夜航星(00:00:50): 那就今天早上你在那个群里发的那两个事情，一个是充值卡，是这个功能是不需要的吗？

邵冬(00:01:02): 他们两个是谁？

张凯(00:01:02): 功能要，但是有些规则没有捋清楚，就我们都没捋清楚的情况下跟你说，那到时候也是做无用功。

夜航星(00:01:20): 那我其实我现在功能是做了一版，就是你们看怎么样！

张凯(00:01:28): 因为因为我们涉及到一个购买和一个服务的一个阶段，就是我们内部，比如说我这个充值，那算提成到底怎么算是等卖的时候就充充值的时候就算提成，还是等服务的时候算提成这些细节会影响到你，你去做一些设置嘛。

夜航星(00:01:48): 对我现在是那个充值是不算提成的，然后只有真正消消费了才算提成，因为从法律意义上讲，是他充值卡充值的钱还是人家的，他只是存在这里。

张凯(00:01:56): 对这。对正常逻辑是这样的，因为顾客只是预存款了。

夜航星(00:02:07): 是的，预存款就怎么说，顾客如果要的话都得还回去。

张凯(00:02:14): 但是我们内部还没有完规则很明确，所以你可以放在那。

夜航星(00:02:20): 是的，预存款就怎么说，顾客如果要的话都得还回去那我放在那里。对我放在那里，你们可以不用这样吗？关掉关键影响比较大了。

张凯(00:02:27): 那但是能能关掉吗。我不是说给它删掉，意思就是让它让大家不能去点到那一页去。

夜航星(00:02:42): 那个 bonus 给它失效 button 给那个按钮给它失效掉，它说不是一个 bonus 的问题。对因为它因为其实很多步骤都关联到。

