张凯(00:00:01): 我截不出来。

夜航星(00:00:04): 我这个需求我理解了。

夜航星(00:00:12): 在晚上就是养生项目那一块就是我们目前没有字段去区分是养生项目还是美容项目？

贺东群(00:00:23): 有他品相里面有一个功能养生。

张凯(00:00:31): 这里我要打断一下。你说的不能做是啥？

贺东群(00:00:36): 比如说，我现在是个美容师顾客预约我做养生项目，那我肯定是不能做养生项目？

张凯(00:00:42): 顾客预约我做养生项目。

贺东群(00:00:53): 然后再换一个角度，我是养生师，然后他要约我做美容师的项目也是不行的，这样不就两个岗位就串了吗？

张凯(00:01:04): 我觉得设置起来会不会好复杂？

贺东群(00:01:15): 如果会的话就算了，到时候只能让他们店长自己去跟那个啥了。

张凯(00:01:18): 因为这好像又涉及到把美容把岗位去跟我们的。

夜航星(00:01:21): 会线下协调！

张凯(00:01:30): 去跟我们的轨的2级品相去绑定，那如果2级品相变了，就那就更麻烦了。它是个灵活性的东西，你能理解不小群。

贺东群(00:01:42): 那就门店自己判断。

张凯(00:01:51): 它是个灵活性的东西，你能理解不小群。门店自己判断。

贺东群(00:01:53): 那就门店自己判断，然后后期他们乱做的话，那我们就只能够手动筛选，然后不给他们算消耗。

张凯(00:02:04): 消耗不是这样子的消耗是分配，是服务单做完之后再店长再去分配的。

贺东群(00:02:11): 消耗也？

张凯(00:02:13): 对。

贺东群(00:02:15): 不是夜机才？

张凯(00:02:17): 消耗也是做完之后店长去分配，他可以分配给。

贺东群(00:02:22): 不是夜机才没有你你不是业绩才有吗？你这个护理单不是顾客一确认整个单就已经完成了？

张凯(00:02:28): 消耗也是做完之后店长去分配，他可以分配给 What did I. 护理单一样的也要去分配的，你不分配，你怎么知道他有好几个人，又有养生师又有。比如说养生师服务完了之后，那美容师是不是有他销的几层也要去分的？

贺东群(00:02:46): 喂。他现在只有那种养生项目，又不是他销养生项目，现在是自销！

张凯(00:03:01): 那品相老师，我是想这个逻辑，你不是就是你还得去分配，你要选多个人？

贺东群(00:03:03): 萍乡的。影星老师不是额外的吗？他是跟美容师是共同享受，又不是按百分比分的。

张凯(00:03:15): 对要选多多个人！

张凯(00:03:20): 还是得有一个分配的动作，打比方就说你那个打比方说如果只能选一个人的话，那么顾客预约了品相老师操作完了之后，那你怎么知道他这个归属于哪一个美容师的业绩？

贺东群(00:03:37): 我想的是这样子的，我想的是他预约就预约美容师，然后服务的时候就可以选人。

张凯(00:03:45): 对还是要分配，那你不是你自己不是表达的就是还是要分配吗？

贺东群(00:03:51): 那我这个分配是服务之前就选好了人，诶，你你现在讲的是服务之后完成了这个订单之后他再去分配耶。

张凯(00:04:04): 服务之前选人反正我理解，目前我们没有必要搞那么复杂，因为我们服务之前就算选了他也可不一定是这个人在操作的。

贺东群(00:04:16): 那你这样子会诶，万一这个人家美容师辛辛苦苦去做了，那店长选人的时候，一不小心选到另外一个人，那不是。

张凯(00:04:25): 那就改。

贺东群(00:04:26): 改不是已有一个设定吗？不能够就店长确认后不能够去修改？

夜航星(00:04:34): 电脑可以改的。

贺东群(00:04:35): 我电脑可以改。不是后期店长可以随便改！我想的是根据交易付店长签字确认之后这个单就死了，就这样子了，不能改了，除非做退单。

张凯(00:04:54): 不能改了，那就是错了！那就是他要他自己去补钱吧！就他选错了，他自己去补钱补给美容师了。

贺东群(00:05:10): 因为因为我想的是这样子，做了之后不能改的想法是什么，就是避免以后他们说这里错了，那里错了改来改去的很麻烦，就是就在前期就告诉他们做了就改不了。让他们形成习惯。

夜航星(00:05:28): 感觉说可以说他是分配了之后第一次分配之后他那个分配状态会改变。

贺东群(00:05:36): 分配状态会改变。

夜航星(00:05:37): 对会可能会切换成已分配，但是这个时候还是可以去更新。

张凯(00:05:43): 还可以点进去修改，我们要设定个时间，不能比如说这工资都发完了，他就改了，我那就不太对了，我们要设定个时间吧。

夜航星(00:05:56): 比如说一个月过完就锁死了三天可以。

贺东群(00:05:59): 三天不就吃三天可以吗？太久了，好麻烦！

夜航星(00:06:06): 三天可以店长第一次分配之后的三天好。可以。

张凯(00:06:19): 我记一下分配。

夜航星(00:06:22): 然后再往下19条，上次开会好像说是让顾客确认，如果顾客没确认，店长才兜底。是店长是必须确认吗？

贺东群(00:06:40): 我们刚刚说的分配单就是店长要确认的那一步了，相当于分配业绩。

夜航星(00:06:47): 分配单是店长是确认完了才可以进行分配。

贺东群(00:06:52): 跟可以结合消耗单跟业绩都是店长分配之后。相当于他审核了我。

夜航星(00:06:57): 分配单是店长是确认完了才可以进行分配。

张凯(00:07:01): 我们第19条顾客预约美容师完成服务顾客确认服务。然后。

贺东群(00:07:17): 因为今天我们测试的时候就是谁，是顾客确认完了就没了，店长都看不见了，都的是顾客确认完了之后，店长还能够再次审核一下，他不是。刚刚我们不是在讲他需要分配消耗吗？这里就可以给他加上消耗分配就等于他审核了。

夜航星(00:07:41): 他可以去分配消耗，他是去以服务单那边已确认状态里面去选是可以选得到的。

贺东群(00:07:51): 这样子吗？但是他因为我还没有看他今天看的时候看到这个单子是已完成，但是没有点进去看能不能分配。

夜航星(00:08:08): 他是服务单是完成了之后才开始能分配。

贺东群(00:08:12): 那是不是要在上面，他点进去就能够看见他那所有的服务单，然后在下面弄一个小框框，点击分配消耗。跟业绩差不多？

张凯(00:08:26): 是这样子的！

夜航星(00:08:27): 是这样的。

贺东群(00:08:27): 我明天让他再看一下，今天他说的是看到那个单子就是已完成，啥也没有。

夜航星(00:08:40): 我刚才第10条刚才讲漏了，就是第10条我这边相同流程这复现不出来 bug。

贺东群(00:08:52): 顾客邀约美容师未显示是早上我们约了一个，但是他说一直收不到，然后我就把那个单取消了之后，我又重新约另外一个项目，他又可以看到了，不知道是什么问题，只是登记了一下，没有删掉。

夜航星(00:08:53): 是要不要再确认一下？

夜航星(00:09:19): 好像这种消息可能都有，都存在那个页面需要刷新的问题，我看能不能改成那种推送的方式。

夜航星(00:09:33): 不刷新就能把记录更新出来。要这种效果吗？

贺东群(00:09:40): 不刷新就更新记录。

夜航星(00:09:44): 不然我好像看看到包括前几天有类似的问题。

张凯(00:09:51): 哪一条。

夜航星(00:09:54): 第10条。

张凯(00:09:56): 顾客邀约美容师未显示顾客预约。

贺东群(00:10:02): 卡了一下，估计是当时没有更新。

张凯(00:10:06): 它是会卡一下，我不知道是因为现在是还没有部署的问题，什么问题，它有时候会刷新的比较慢。

贺东群(00:10:08): 我想问一下美容师他能够主动约顾客吗？

夜航星(00:10:20): 不行。

贺东群(00:10:22): 不行。只能够从顾客这里开单吗？

夜航星(00:10:28): 美容师可以开单就不预约，可以直接开。

贺东群(00:10:32): 明白了就少了，约直接开单做项目？

夜航星(00:10:38): 对。比如说顾客不约他直接来店里。

贺东群(00:10:41): 我懂了。

张凯(00:10:46): 第17条是第17条。

夜航星(00:10:50): 比如说那个顾客不约他直接来店里对第17条这个是不是品项老师，他那个权限本身是店长权限？

贺东群(00:10:55): That. 

张凯(00:10:57): 第17条是第17条品品项老师！

贺东群(00:11:00): 他不是店长权限？

夜航星(00:11:03): 确定吗？那他是啥权限？

贺东群(00:11:04): 他推广不一样，他可以行走所有的门店，但是他只负责某一个项目，他就只能看见这一个项目的有关顾客项目什么什么的。

张凯(00:11:12): 谢工，他跑业务的。

夜航星(00:11:21): 我知道那测试是哪个员工叫啥名字，我看一下他那个权限。

贺东群(00:11:29): 叫陈瑶。

夜航星(00:11:30): 陈瑶。决策权限他是南山市场的店长，相当于南山市场的经理权限，现在他能操作南山市场所有的门店的店长可以操作的操作。

张凯(00:11:47): 我测试的时候我给他加了权限，我不给他加他，好像啥也看不到。角色比较尴尬。

夜航星(00:12:01): 他商品管理员可以看到吗？

张凯(00:12:04): 他是管理员吗？

夜航星(00:12:06): 商商品管理员。

张凯(00:12:07): 商城管理员。

夜航星(00:12:10): 进入商品管理员就可以设置品相这些东西的。

张凯(00:12:20): 他主要的需求不是说看到商品，他主要需求是看到顾客。

夜航星(00:12:28): 他的顾客。那就是把他设置成啥。

夜航星(00:12:39): 顾客管理员。

张凯(00:12:41): 顾客管理员。对了，我是让他在那个管理端，我们不是还有管理端看数据的嘛，那里面也能看到顾客，我只让他登录那个。我需要给他设置成什么什么什么角色，什么权限？

夜航星(00:13:02): 设成顾客管理员。

张凯(00:13:07): 顾客管理员那他能修改吗？

夜航星(00:13:10): 修改可以的吗？

张凯(00:13:12): 这样子，我怕修改的端口太多了，到时候都不知道谁改的。

贺东群(00:13:18): 不对。

夜航星(00:13:19): 我们这有审计的。

贺东群(00:13:22): 品项老师他不是还要预约他做项目吗？

张凯(00:13:26): 这样子，我怕修改的端口太多了，到时候都不知道谁改的。不预约个屁预约。

贺东群(00:13:29): 那你后期瑶瑶怎么办？

张凯(00:13:33): 他分店长分配姐姐预约你怎么预约你还你那么多品项老师，整个公司几十号人？

贺东群(00:13:36): 意思预约只预约美容师，然后分配的时候只是附带加上品项老师。

张凯(00:13:48): 对分配业绩一样，店长也要把服务单的业绩分配给品项老师。

