夜航星(00:00:01): 可以继续。

张凯(00:00:05): 消耗数据。

贺东群(00:00:12): 消耗跟业绩是一样的，只是按品项汇个总就好了。

夜航星(00:00:16): 消耗跟业绩不，你一样指表头是一样的？

张凯(00:00:22): 它对它只是逻辑一样，数据来源不一样，来源于服务单一个来源于销售类型的这个数据中心里面没有吗？数据中心？

夜航星(00:00:28): 对。算了。

张凯(00:00:43): 属于。

贺东群(00:00:44): 他有消耗总金额，然后没有具体分品项。

张凯(00:00:49): 消耗总金额品项。

贺东群(00:00:53): 数据中心的是总消耗和生美消耗，我记得。

张凯(00:00:59): 因为数据中心漏了。

贺东群(00:01:06): 又啥。

张凯(00:01:09): 我之前发给谢工的数据中心有包含。

夜航星(00:01:14): 没有专门1010号的明细。

张凯(00:01:17): 没有吗？我打开看一下。10我看一下哈品相。人效。有业绩的，没有消耗的。品相里面有各品项的业绩。对我发的有业绩没有消耗。对业绩也没看到嘞，谢工！

夜航星(00:01:59): 业绩。

张凯(00:02:00): 对。

夜航星(00:02:00): 按品项来吗？按品相来有就是品相它可以根据品相去筛选，不是根据对它可以筛选品项。

张凯(00:02:15): 可以在日？可以筛选品项，但是它没有办法，一下子把所有品项的业绩都列出来吧。

夜航星(00:02:29): 这个会加导出按钮吧，导出按钮加了让它导出来。

张凯(00:02:40): 导出你先增加。

夜航星(00:02:44): 我导出都统一加了一版。今天不锁再看看。

张凯(00:02:54): 消耗的汇总就是针对品项一个消耗的汇总，一个业绩的汇总在后面是凤玉门店顾客回电统计。又是什么鬼东西回电顾客回电统计。

贺东群(00:03:10): 这一个都可以对，因为经营第一张表里面也包含了这些，说这是单独拆出来的。

张凯(00:03:13): 不要了？那是不要的。那就不要了吧！

贺东群(00:03:21): 要是我们。现在也是。

张凯(00:03:27): 谈点事。你最后两张图发的又是什么东西？

贺东群(00:03:32): 就是汇总的，以市场为单位汇总，然后这个销售和10号的这两个都可以忽略，到时候门店的出来了，这个直接汇个总就好了。都可以不要。

张凯(00:03:52): 都可以不要。

贺东群(00:03:54): 也会肿就好。

夜航星(00:03:56): 这只是市场维度。OK 这么理解？

张凯(00:04:08): 你最后一张图各卡上持卡数占比好像已经有了。

贺东群(00:04:13): 懂吗。

张凯(00:04:15): 在品数据中心品相里面，以门店为单位，它有持卡人数，持卡不对，这里是总持卡人数，你这是按品相拆分的。我自己评价筛选一下也可以？

贺东群(00:04:38): 他不能直接导出全部的明细，我自己在公司弄吗？我一定要每一个去筛选，然后才能导出来吗？

张凯(00:04:49): 那我不知道。我们要看导出来的结果是什么样子的？

夜航星(00:04:50): 你不筛就导致全部的。就不你不筛就会导出全部的。

贺东群(00:05:00): 这样也是。

夜航星(00:05:03): 不对不带。是我说错了。

张凯(00:05:03): 活塞导致全部的，比如说。那他是合计吧，比如说上饶蔡家湾。他是导出来。所有只要顾客有剩余卡项的人数吧！

夜航星(00:05:17): 对。

张凯(00:05:20): 那他就没有办法实现他的像他这种横排的，按品相去分的一个占比了。

夜航星(00:05:31): 你这我再看看吧，我看看是直接导还是就是通过对话去拉取，然后再。在导出？

张凯(00:05:41): 对话废话。可以对话也如果能对话能解决，好像也蛮好的。

夜航星(00:05:52): 在导出对话会比你已经有显示的灵活一点。

张凯(00:05:59): 这话可以自己拼凑吗？

夜航星(00:06:04): 可以拼，你只要你要的指标，它口统计口径代码里面有它可以拼。他可以去组装。主要是你没有代码，统计口径代码里面没有的话就它可能不准确，它不知道啥意思。

张凯(00:06:32): 明白。

夜航星(00:06:39): 先这样，我下来再看看。

张凯(00:06:44): 可以的，有些没用的小群你这边可以撤回吗？看到太多了。撤不回了吧？

贺东群(00:06:55): 用微信又不是企微。

张凯(00:06:59): 怕太多了。你把谢峰看晕了？

夜航星(00:07:01): 是有点晕。

张凯(00:07:04): 不要的就可以先删掉。

贺东群(00:07:08): 不要的就删掉吧！

夜航星(00:07:17): 那我们。看一下测试问题这边！

张凯(00:07:20): 看问这是问题，这是问？

夜航星(00:07:23): 5月30号。5月30号。

张凯(00:07:30): 我想说还没修复卡项的计算？

夜航星(00:07:36): 改善了计算，我本本地修了一版还没测，还没我自己还没测过。

张凯(00:07:41): 这里。这里。一个卡。

夜航星(00:07:57): 第5个我写的反馈。

张凯(00:08:03): 一个是卡。第5个写的反馈就是表单的之间的关联。

夜航星(00:08:10): 对。

张凯(00:08:10): 我看一下你说的是对的，他可能一个服务单来自于好几个销售单里面的子项。

夜航星(00:08:20): 他得跳两次才能跳到。

夜航星(00:08:25): OK，然后第7个，我这感觉你们规则还不是很完善，就比如说允许它改成零吗？就应收。

张凯(00:08:40): 我们以前是这样子的，我们以前是我们就是其实和你理解的一样，就是我设定这个项目可以做优惠，你就可以填，我这个项目设定的不能做优惠你就不能填。

夜航星(00:08:57): 可以，我们现在系统数据结构设计是兼容这个功能的。

夜航星(00:09:04): 就是要做限制？

张凯(00:09:09): 要你的，比如说店长你最多只能优惠多少是这个意思？

夜航星(00:09:15): 对。

张凯(00:09:18): 做限制你这边麻烦不，我是不太想给你增加麻烦的。

夜航星(00:09:23): 你不做现在也可以，就我看你们这边有没有那种硬性要求，就防止一些什么事情。

张凯(00:09:36): 有是有，但是就像你说的规则其实没有很明确说，比如说店长你只能优惠到几次哈也优优惠到几折哈，我们目前暂时没有。

张凯(00:09:49): 以后可能会有吧，目前没有。

