贺东群(00:00:02): 那黑色的那些就是没有的，但是我们这些信息都是有的，比如说是哪个市场服务的日期。

贺东群(00:00:16): 速度，这些都是有的说需要找到一起。

张凯(00:00:25): 你把字段改一下，改成按照我们网页端的那些表述。

贺东群(00:00:33): 我改了就是那些标红的，我都是按照网页版来的。

夜航星(00:00:34): 我像是否纳克这好像没有。

贺东群(00:00:44): 是不是790的。

夜航星(00:00:48): 好。

贺东群(00:00:49): 成为会员的第一次，他。

夜航星(00:00:53): 成为会员第一次是。

张凯(00:00:59): 哪个东西，你换个说法嘛，你说话你那就是他就是成为会员的那一次。

贺东群(00:01:00): 是否纳克。

夜航星(00:01:08): 成为会员第一次是了解那是否活动？

贺东群(00:01:13): 这个活动好像我销售单好像没有！

张凯(00:01:17): 是否活动没有字段？

贺东群(00:01:20): 我上次问市场说好像也需要是否活动，比如说他想提取某一场活动的数据是多少，先筛选。

张凯(00:01:26): 是否活动没有这个字段。他。他这个很简单，他这个你表达的意思就是那个订单明细里面要增加一个选项嘛，如果是他是活动场的那店店长开单的时候就选上不是就不是嘛，就日常的嘛，相当于。

夜航星(00:01:51): 就加要加一个字段订单。

张凯(00:01:57): 对。

夜航星(00:01:57): 好好。然后下一行我们看一下。

张凯(00:02:14): 和销售单和我们现在导出的有点区别，我们现在导出了把子项直接并到一行去了。

夜航星(00:02:21): 对。你这那你它指向是怎么处理？

张凯(00:02:33): 他是指向一行。

夜航星(00:02:37): 一个指向银行！这也可以。

夜航星(00:02:43): 就要根据 OK 行一个指向一行，那会有那种重重复数据。

张凯(00:02:55): 重复数据。

夜航星(00:02:58): 就相同订单的，它订单这个层级的数据它是一样的？

张凯(00:03:06): 一个订单里，对就主表要知道是一样的，比如说它可能10行主表字段都一样，但是那些指向的一些名称金额那不一样。

夜航星(00:03:12): 可以就改成那种，然后这营业额分配好像没有服务单的提成。

贺东群(00:03:28): 我单的提成。

张凯(00:03:30): 营业额分配因为营业额分配有吗？营业额不是有一个销售提成和服务提成吗？

贺东群(00:03:38): 营业额分配我只需要他的明细，每个人分配了多少业绩，他的提成其实都可以忽略了。

夜航星(00:03:46): 要覆盖到业绩？

贺东群(00:03:51): 然后还有一个点就是已退金额，这个可不可以，比如说应收是1万块钱，然后顾客付了1万，但是后面他退掉了，那么实付是不是应该变成零，然后退款金额就变成1万？是这样计算的吗？

张凯(00:04:08): 我理解不是。

贺东群(00:04:11): 不是那到时候我们想看实付金额那里就是我们的实收，那我还要去减掉退款金额这里吗？不是很麻烦吗？

夜航星(00:04:11): 投资金额是什么？投资金额是什么？我忘了我这怎么写的了我到时候这个表做出来，你再看看。

张凯(00:04:25): 已退金额代表的是什么意思？我没太明白。夜航星已退金额是什么意思？

贺东群(00:04:39): 有这已退金额是我根据现在网页端导出来的这上面。

