夜航星(00:00:08): 喂，刚才退了。

张凯(00:00:11): 听得到。

夜航星(00:00:13): 刚刚才你接着说界面的。

张凯(00:00:19): 界面的界面，我看一下界面的！界面的关于手机的已经是我不知道我因为我不我手机是一个屏幕的不是两个屏幕的，我不知道修复好了没有？

夜航星(00:00:35): 来看一下。

张凯(00:00:39): 它是双折叠和3折叠的手机，它打开之后。

夜航星(00:00:45): 提交过一版是两边撑开，像用 pad1样。

张凯(00:00:49): 好好因为我没有3折叠的手机，我看不了。

夜航星(00:00:53): 你可以看一下，或者用 pad 看我也没有折叠手机，因为所以没考虑到这个问题，你可以用 pad ipad 看一下。

张凯(00:01:05): 好，因为我没有3折叠的手机，我看不了。然后界面界面系。文件，排版文件。关于界面的。文界面的商品里面详情还看不到。

夜航星(00:01:37): 商品详情。

张凯(00:01:40): 上传了详情页，但是小程序端没有显示嘞。

夜航星(00:01:46): 这样吗。好好这个我呸出去你你今天问题那个文档都可以登记一下吗？

张凯(00:01:55): 今天你没你要你那边没登记？

夜航星(00:01:59): 我没有登，我只有转文字，我也按让 AI 给我梳理一下。

张凯(00:02:09): 今天你没你要你那边没登记，可以，我怕忘了我一会儿点吧！界面的一个商品页详情没有。

夜航星(00:02:23): 好。

张凯(00:02:29): 然后关于界面的？然后关于界面的员工端的你你你首页你帮我优化一下。

夜航星(00:02:38): 咋优化你们啥需求？

张凯(00:02:45): 然后关于界面的那个员工端的你你你首页你帮我优化一下。我看下老板发过来的哈老板发过来。老板发过来的类似于他给我参考了一个截图。

夜航星(00:03:00): 看一下。

张凯(00:03:12): 他浇灌耗灌的分摊不用打湿吗？没有反弹勒压什么销冠好管？

夜航星(00:03:22): 截图咋参考，这跟我们完全不一样！跟我们功能功功能都不匹配。

张凯(00:03:34): 不是功能，不用看功能，他的意思就是抖音就简单一点。比如说我举个案例，我们不是有个待处理事项吗？相当于比如说他它每个入口就显示这种大图标就不用显示日历，然后这些就这个意思，你看到比较繁杂嘛。

夜航星(00:03:45): 跟我们功能功功能都不匹配。

夜航星(00:04:02): 就日历不要，然后别的怎么改？

张凯(00:04:07): 比如说日历不要，然后收入也不显示在首页了，因为收页收入它可以点进去看明细。

夜航星(00:04:17): 收入不显示在首页。

张凯(00:04:21): 比如说就一个大框框，查看那个查看收入，或者说就是，然后一个大框框。预约管理一个大框框，什么提成分配就是这种意思了。

夜航星(00:04:36): 一个大框框月光一个大框框提成分配。待办事项图标给它弄大。

张凯(00:04:46): 预约管理一个大框框，什么提成分配就是这种意思了，就参考就放几个简单的一个大图标就好了。

夜航星(00:04:56): 你这发过来图，这可难看了，我靠。

张凯(00:04:59): 难对难看是难看的，但是他们就是想法就是简单一点就是员工登录进来就简单一点就。

夜航星(00:05:09): 夜光不明亮现在？

张凯(00:05:11): 对就看着很直观嘛，就不用摆太多数据出来。

夜航星(00:05:19): 那首页要啥就感我感觉你删完了，啥也没剩了。

张凯(00:05:25): 首首页就几个就首页就几个图标，一个比如说它有哪几个功能了，一个是员工，他不是可以看收入嘛，查看收入了，然后那个开单了。然后服务了，然后。好像也没有了。服务。

夜航星(00:05:50): 就相当于把我的这边的工作功能。这块。

张凯(00:05:58): 对可以这么理解。

夜航星(00:05:58): 然后放到工作台吗？然后把日历干掉。

张凯(00:06:09): 把日历删掉上面的也删掉上面什么分层些。

夜航星(00:06:13): 你们上面不是说之前说员工马上能看到分成，很有利于激励吗？

张凯(00:06:16): 分成你也可以留着分成！

夜航星(00:06:23): 就这样把日历换成我的里面那个工作功能，然后工作功能那几个放大图标。可以吗。

张凯(00:06:31): 分成你也可以留着分成对。对是意思，对老板看完之后他就觉得简单一点好嘛。

夜航星(00:06:37): 好好好。

