张凯(00:00:01): 群里面吗。

邵冬(00:00:02): 对让他理我一下，让他把认证做掉，我先看你，因为如果贺东群在我就跟贺东群说贺东群不在嘛。

张凯(00:00:08): 我问一下李广硕。

夜航星(00:00:17): 可以看到吗？

邵冬(00:00:18): 对李广树。可以看到的。

夜航星(00:00:22): 那今天先把6月8号的 bug 我这边有些可能需要再沟通一下，先沟通一下，然后再沟通知前的营业额分配。

夜航星(00:00:42): 第一个是回款这部分等营业额分配定下来再我重新捋吧，因为营业额分配的修改，它会影响到回款。然后。

张凯(00:01:01): 营业额分配？

夜航星(00:01:10): 然后接下来是寄存单的一个扣减我后来下来发现不太好改。我想能不能继承他的扣减就是按照现在的流程卡的流程给它走一遍，然后在备注里面说明一下。

张凯(00:01:41): 误解他如果走现在的流程的话，他会存在造假，因为他会分配业绩，但是其实是顾客退款。

张凯(00:01:56): 就是寄存进去，本来顾客他要退钱，他退款就不做了，然后如果那就现在就没有退款的这个步骤了，那就是正常做护理给他划掉的话。

张凯(00:02:10): 这个动作不对，因为本身这个划掉美容师是没提成的，甚至是要扣提成的，如果去服务单的话，那天那他们就有一个分配服务业绩的一个权限，我就是就有一个作弊的点嘛。

夜航星(00:02:33): 他一个是他寄存单，他的疗程卡项目他不影响提成的，然后第二个是这都是店长在操作。

张凯(00:02:45): Do. 

夜航星(00:02:49): 如果备注上写着的话，店长是可以看到的。

张凯(00:02:51): 计算机。提单他有提成的？

夜航星(00:03:01): 寄存单他没有销售提成，他只有服务单的提成。

张凯(00:03:06): 他没有服务，他没有销售提成对。

夜航星(00:03:14): 那服务单的提成，我们服务单提成这个疗程卡已经这个次数已经做掉了，我们只扣减没做掉的次数，所以不存在这个提成。

张凯(00:03:24): 顾客真实的情况，比如说是顾客他退了钱，那我们要把这个卡就是减掉，就像常规的退款单一样？那你你的说法就是顾客真实是退款，然后通过我服务流程去把它划掉。那划掉第一个就是这个就感觉挺奇怪的，然后第二个就是那我服务完了之后，那店长他会他可以把这个拿来分配给员工分配提成啥的。没顾客是退掉了，没有服务。没有提成的。

夜航星(00:04:19): 第是他店长可以控制，这样也不可以吗？他店长可以控制营业额分配的提成。

邵冬(00:04:33): 我插一句，因为现在有些我跟不上，就是说以以前比如说这个单客户退掉了，其实是你是相当于是会扣这个员工上次已经提过的提成。

张凯(00:04:39): 对。

邵冬(00:04:51): 就是他上次已经提了1000块钱，但是这客户不是后面没消费嘛，说七说八说的就把1000块钱的这个消费金额退掉了，你们会下个月再扣这个员工的提成费的，以前是好像是这么干的？

张凯(00:05:06): 这是正常的单子嘛？

邵冬(00:05:11): 正常单词能不能用这个方式？

张凯(00:05:15): 那预存单寄存单，我们有一个 bug，就是寄存单做不了退款的。谢工说。

夜航星(00:05:24): 因为寄存单它本身不是走我们这个系统生成的，它付款不走我们系统。

张凯(00:05:27): 对他没有收钱。

夜航星(00:05:33): 退款要走我们系统确实给它嫁接进去，有点复杂。

张凯(00:05:39): 赵总，我给你简单阐述一下寄存单是啥意思哈，因为现在。

邵冬(00:05:42): 因为因为大印你等一下，因为大印也在里面，因为后面就是上线到验收大印来负责，所以你要说一下给他听的。

张凯(00:05:47): 寄存单的意思就是相当于初始化，比如说我7月1号开始用美丫丫7月1号之前顾客本来就已经消费了，有剩余没有服务的卡项，我是不是要给他弄进去，我弄到美丫丫上后面才能开服务单嘛？这个寄存单的意思就是初始化，我把顾客截止到7月1号剩余的金额和项目给他导到美丫丫里面去，所以其实对于美牙来说是没有收钱的，没有开单的过程。

邵冬(00:06:28): 那大印你有没有听懂，你要问。

邵冬(00:06:37): 大印。我想你你这个麦是打开了没有声音。

刘大印(00:06:42): 那你是当孩子没现在能听到吗？

邵冬(00:06:47): 能听到你有没听懂？

刘大印(00:06:50): 喂我跟你讲。

邵冬(00:06:50): 听得到。

刘大印(00:06:57): 喂，能听到吗，我不是因为我才接触，我不是很懂，可能你稍微可能还得再讲一讲，就这个地方。

邵冬(00:06:58): 能听到！

张凯(00:06:59): 可以听到。可以听到我们正常会有一个开单的流程，就是我开单我收钱，那以后顾客不做了，我再退款，这个流程是全部在那个线上实现嘛？那么我们比如说我7月1号开始用这个线上的工具，那么我7月1号之前的顾客有以前消费的还有剩余的项目没做了，对不？那我们有一个初始化的功能，就要把它是顾客剩余的次数，剩余的金额给导入到这个就录入到这个小程序上面去。

刘大印(00:07:41): One. 

张凯(00:07:46): 因为因为我只是做一个初始化的录进去，但是没有实际的收款的工没有收款的这个步骤，那后面退款是实现不了的。

刘大印(00:07:48): 只是把钱转过去，相当于再写一遍，可以这么理解吗？

张凯(00:08:07): 把钱转过去是啥意思？

夜航星(00:08:08): 他是把从顾客之前所拥有的项目转进来。

张凯(00:08:15): 对录入新的数据库嘛，然后还录入了，那假如这个。

刘大印(00:08:17): 百之前！

