夜航星(00:00:02): 储字塔。

贺东群(00:00:06): 就是你看群里面的实付这里有把差额就是转换那个差额给就是有显示金额，但是现付这个字段是零。

夜航星(00:00:19): 这边是什么意思，转换单它差额转入储值卡，那是滑到储值卡没有问题！

贺东群(00:00:33): 还要储值卡限制这个字段我也要显示，不然它我们求和的话，它会有显示有金额。

夜航星(00:00:43): 求和按储值卡抵扣这一列来嘛？

贺东群(00:00:47): 不是你们是在看单独的就是我们不是数据是以现付现金流这个字段来求和的吗？它就会显示有一个102的差额。

夜航星(00:01:03): 102的草。这第二张图片，这张图。这不是他。

贺东群(00:01:32): 他能不能实付一样，就把那个102不用搞到储值卡里扣那里去，直接就显示在现付下面，然后这么一求和。我求和的时候数据就不会有差异嘛。

夜航星(00:01:49): 等一下，我想一下。本来就在池塘那边。

贺东群(00:01:58): 如果他在储值卡那里限速就不对了！

夜航星(00:02:04): 现货。这不对的他相当于储值卡交了钱了，他实际没有付。

贺东群(00:02:19): 他实际是没付嘛，但是求和下来就相当于怪怪的。

夜航星(00:02:26): 你求和你最后要把线和除法相加的。

贺东群(00:02:33): 要么还有一个办？

夜航星(00:02:36): 这个数据是对的，他转到储卡的钱，他变成一个预付款了，那你们等一下我想一下。想象滑道线付。这款到幸福了！

夜航星(00:03:18): 对现付数没有问题，因为它相当于从商品，它本来可本来就是个这笔钱可能就是现付的。

贺东群(00:03:22): 没有问题。

夜航星(00:03:32): 他把它转到了储值卡。

贺东群(00:03:36): 那这样说嘛，我们数据中心的数据是以哪个字段求和的？

夜航星(00:03:43): 数据中心，现在不是要求用现付吗？

贺东群(00:03:47): 现付求出来就不对了！

夜航星(00:03:53): 它本本身就是负数！

贺东群(00:04:00): 我们转换它的意思。不就是让它现付是为零吗？那这样子我们数据中心的数据是以现付为准的话，它就会少102如果是总的加起来是5000，它就会扣掉这102然后得出那个数据中心的数据。

夜航星(00:04:15): 那我看一下这个含义，如果106放到现付中是什么意思？说他现付了102他没有先付这个钱？

夜航星(00:05:45): 我把它储物卡这边都处理到现付这里。你讲的有道理。

贺东群(00:05:50): 是，然后我再看一些，还有我们单据的类型，就是我们有售前，它是分售前一次售前二次。我们现在上面它只显示售前，它没有分一次二次，这个能量的话就是跟会员我们的会员标准是一样的，它是第一次消费了1900。

夜航星(00:06:20): The. 就没给你们做！

贺东群(00:06:22): 之后就。可以。我记得之前好像有提过。

夜航星(00:06:35): 行吧，我看着看怎么做给你做上。

张凯(00:06:37): The. 

贺东群(00:06:42): 我再看一下。

夜航星(00:06:45): 那只跟订单有关的服务单还有还需要这个字段吗？

贺东群(00:06:51): 不就销售单项嘛？

夜航星(00:06:56): 不但啥意思？

贺东群(00:07:00): 这个类型，单据类型。我们在一起同同步吧！

夜航星(00:07:08): 服务单同步不了他服务单是相当于订单那边的疗程卡拆开一个，然后服务单可能会从不同的订单的疗程卡那里把这个数据拿过来。

贺东群(00:07:21): 服务单之前弄的是没有消费之前就是售前消费之后售后服务单就不管，就管这个销售单吧，销售单的单件类单据类型就是顾客没有消费之前售前就消费的第一笔，如果没有达到1990就是售前一次。包括达到1990的第一笔，第二个1999前二次，第三个都是售后。

夜航星(00:07:53): OK 第三个是生活不，不是第二个结束之后都是售后吗？

贺东群(00:08:03): 就这个意思。还有一个是。是昨天群里面发的疗程卡合并显示需求冲突。Look. 是可以根据他的订单号绑定他的所有备注到顾客的疗程卡以及开创建服务单的时候显下面显示备注的吧。

夜航星(00:08:36): 昨天沟通了之后没有问题。

贺东群(00:08:48): 其他其他好像没有了？

夜航星(00:08:52): 看一下。你要多选的下面？

贺东群(00:08:55): 还有一个。因为以后会有别的市场增加进来，但是我不需要找他们的，它就会影响我下载的速度。

夜航星(00:09:12): 市场不好，多选市场，它跟那个权限那边绑定了一个关系。

贺东群(00:09:19): 比如说我只想选四凤和9家不可以吗？

夜航星(00:09:25): 自贡和九江这可能会不太好改，因为我们权限范围的权限是跟筛选有关系的。

贺东群(00:09:39): 如果。

夜航星(00:09:39): 他不是一个普通的状态。

贺东群(00:09:42): 不能改的话，以后市场越来越多，到时候导这个数据都要卡好久。

夜航星(00:09:48): 你全部市场倒吗？

贺东群(00:09:52): 他这几天全部导出来，不能选。

夜航星(00:09:56): 对它全部导出来，它会按照你你你有权限的，只会导出你有权限的市场。

贺东群(00:10:07): 是我。我能看到全部，我导出来的时候我不想看到有一些市场，我只想看到我想看的市场。

夜航星(00:10:16): 那你多的话就全部导吧，少的话一个一个来。

贺东群(00:10:25): 打不了我那个什么全部状态也可以的。

夜航星(00:10:32): 什么状态？全部状态。

贺东群(00:10:36): 那行吧。还有一个退单的有一个月做的退单，他退了金额这个160这一行我填的是1000，然后退单也退了1000然后我现在点进去这个单号里面，它居然还有200205。

夜航星(00:11:01): 实付1000退单1000？

夜航星(00:12:40): 这个单。他怎么跟状态怎么跟你说的不一样他已经都用掉了。

贺东群(00:12:47): 用掉了吗？怎么看没用，你怎么现在？1000你用。

夜航星(00:12:56): 那不是你截图的单跟你发在那里的单不一样，我再看一下。

贺东群(00:13:02): 那我看一下。

贺东群(00:13:23): 我的暗号删错了。它显示上面还有205，但是退掉了1000。这个205不存在。

夜航星(00:14:25): 这个处理有点问题情况。

夜航星(00:14:49): 这个处理有点问题，我等会改一下。然后再把数据更新一下。

贺东群(00:14:53): 然后。什么。

夜航星(00:14:58): 我改了之后会把这个数据给更新掉。

贺东群(00:15:03): 然后我群刚刚发群里有两个转换单，这两个转换单我联系了刘工，然后说不能删，因为关联太多，能不能帮我把那个金额就是54.19和200这两个单的金额。他填的实付是没有付钱的，给我改成欠款可以吗？

夜航星(00:15:27): 是富，没有富喂。

贺东群(00:15:30): 转换单他做了就退不了单嘛，然后我们想挽救也救不了，知道吧，卡卡也不行，反正就是没有任何漏洞，然后就改不了，就只能麻烦你们这边看能不能改。我本来是想删除，但是说不能删除。

夜航星(00:15:49): 你你怎么怎么敢再说一下，看我没听清。

贺东群(00:15:54): 就把它改成零，然后这两个就显示欠款了就没事了。

夜航星(00:16:02): 他没你们，你们没收到钱，然后点了确认？

贺东群(00:16:09): 没有收到钱，他们点快了。

夜航星(00:16:15): 这还能点快，这不是收钱的点吗？

贺东群(00:16:19): 瞎搞一通，然后就这么搞下来没办法改了。

夜航星(00:16:24): 那这个给你改成没收钱状态。

贺东群(00:16:32): 可以的。还有一。

夜航星(00:16:35): 之前你那个问题单里面列的两个订单上不了？

贺东群(00:16:41): 要两个订单哪两个？

夜航星(00:16:44): 这没掉了吗？

贺东群(00:16:46): 最开始我是弄了两个，好像就是有一个是54块1九，另外一个让店里面把钱给补上去了，自己做错的，然后他们自己补了，我就把它删了嘛。都成了。

夜航星(00:17:07): 那还有别的问题吗？

贺东群(00:17:07): 最后一个看一下。

夜航星(00:17:14): 贺经理那边咋感觉收音没那么好。

贺东群(00:17:19): 声音大声点，现在可以不？

夜航星(00:17:23): 可以就他有声音，有点断断续续的。

贺东群(00:17:27): 有一个顾客来源这个顾客来源是在哪里改的？

夜航星(00:17:38): 顾客来源是在顾客的管理那边。

贺东群(00:17:42): 标签是哪里？就是你这些筛选的那些这些东西。

夜航星(00:17:53): 你你你说话刚才中间感觉丢掉了一截。

贺东群(00:17:59): 我再来一下。我发群里边的这些东西是在哪里搞？

夜航星(00:18:06): 在顾客管理那里可以改？

贺东群(00:18:09): 客观。我没看到嘞！

张凯(00:18:12): 谢工，他表达的自定义在哪里添加选项，删选项。

贺东群(00:18:19): 暗示是这个意思？

夜航星(00:18:22): 有没有可以自定义的，这次好像都没做！

张凯(00:18:28): 比如说线下这些有好些别人分不清楚是怎么的，他想改一下名字什么的。

夜航星(00:18:40): 我看一下有没有做。没有给可以改的接口。

贺东群(00:18:51): 那就。

张凯(00:18:52): 这没错。

夜航星(00:18:55): 你跟我说我来改？

贺东群(00:18:58): 行，到时候我发发群里，然后你帮我改一下吧。然后还有一个点就是顾客管理这里的顾客他不是注册了吗？你都绑选不了门店绑定，然后他又已经注册了，然后我这边就想去帮他绑一下门店，又绑不了这个有办法可以解决吗？

夜航星(00:19:22): 这顾客端没法发布，不然顾客端那个功能已经做上去了，我们想一下。

贺东群(00:19:41): 看图片，有顾客。

夜航星(00:19:43): 给你们系统管理员开放权限可以吗？会出问题吗？

贺东群(00:19:49): 你等我一下有问题也不会出。像我发群里，就像这个顾客，他又绑定他又选不了绑定，但是门店我们也不能，我们也选不了门店。就拖着，然后店里面的单就没有办法录进去。

夜航星(00:20:21): 他人不在门店所在地？他这个顾客他这个人他没有在门店所在地？

贺东群(00:20:32): 对他就是没有在店里面，有些是比如说一个月可能就来一次，然后跟他电话联系，让他搞他就是死都不搞，要么就是选不了，然后人又去外地了，有这么些情况。

夜航星(00:20:51): 那我给你开放这个权限没有不会出事？

贺东群(00:20:57): 不会出事的，我们一般没有问题，不会去乱选。

夜航星(00:21:02): 那我给你开。

张凯(00:21:04): 什么东西？

贺东群(00:21:05): 门店绑定？

张凯(00:21:12): 门店绑定。顾客注册完之后他可以不绑定门店吗？难道可以这样子吗？还是什么原因？

贺东群(00:21:21): 就是这样子的，就是顾客，比如说我是顾客，我扫进去之后，那我是可以看的你，但是我们后台能够看到这个顾客，有一个顾客注册没有绑定门店，然后顾客必须去点绑定门店之后我们才会显示他有绑定门店，不然的话我们都做不了单。

张凯(00:21:39): 他不绑定门店算注册吗？

夜航星(00:21:43): 算了。

贺东群(00:21:45): 他早进来了！

张凯(00:21:48): 他扫进来了就行了，就也可以不绑定门店？

贺东群(00:21:58): 就算只要遇到扫过的，然后顾客又不配合去点绑定的，或者说在外地他就选不了，收不了店，他就没有办法绑定，那么就会导致门店录不了。

张凯(00:22:12): 我看到了一个 S 老师，名字叫 S 老师的没有门店可以不绑定门店。然后你的管理员给他分配门店吗？

贺东群(00:22:27): 就是比如对嘛，就是比如说门店明确这个顾客是他的，那么我们就可以帮他把门店选上，这样子就不耽误门店入单嘛。

夜航星(00:22:39): 他有那个数据吗？他是没数据！

贺东群(00:22:44): 有的店他发过来让我注册他显示这个手机号码已经有了没有绑定门店，那就只能到顾客那里去让他绑。

夜航星(00:22:53): 他那些订单数据有没有？

贺东群(00:22:57): 没有做不了单。

夜航星(00:22:59): 订单数据没有，这有个功能就是你可以把它删了你你然后那重建一个它就有了。

贺东群(00:23:04): 还没到你们脸都开嘞。

夜航星(00:23:13): 他就可以选门店了。

贺东群(00:23:15): 校长看看我。我试一下。

夜航星(00:23:21): 还有一个印象。

张凯(00:23:26): 你干啥我都开会，开一两个小时，你我这会儿没空跟你对我在开会，你开吧，你干活去了再见！

夜航星(00:23:40): 刚才说！

