张凯-发言人1(00:08:00): 听得到，听得到。

张凯-发言人2(00:08:00): 知道。

夜航星(00:08:04): 还说你这名字都改了吗？1738蓝蓝8军？

张凯-发言人2(00:08:11): 那我要改一下名字。

张凯-发言人2(00:08:55): 那谁先讲小熊先讲吗？

张凯-发言人2(00:09:11): 小熊你先讲了，你赶紧把导出的。

张凯-发言人1(00:09:14): 弄出来，你要核对清楚！

贺东群(00:09:21): 回单导出，我要日期，怎么阐述？开始了。我要把那个日期他可以修改订单日期，修改之后，订单就归属于最开始日期，后面回款的话。要是他要是新的日期他不能合并，我要的点，目前销售单问题。

夜航星(00:10:03): 这个需求我感觉已经在我找一下是销售单子，那种多次支付的。有回款。

贺东群(00:10:17): 比如说他一个单的话，他可能付个35次都是有可能的他。

夜航星(00:10:22): 对。

贺东群(00:10:23): 不一定每都一次性付完。

夜航星(00:10:25): 你这边有现成的订单号吗？我一下找不到一个例子。就有回款的那种？

贺东群(00:10:34): 记得我不。菊花。

夜航星(00:10:51): 红石花。

贺东群(00:10:58): 真的没。先发一个顾客的姓名。然后是3000的单？

夜航星(00:11:09): 看开了。

贺东群(00:11:14): 然后他有两次付款。

夜航星(00:11:17): 对。

贺东群(00:11:18): 第一次付款是8月25号，

夜航星(00:11:20): 对。

贺东群(00:11:20): 然后我们把归属日期改成了9月1号，它就是8月25号的，它是应该把8月27号的改成9月1号。然后这是两个月的。上面那个100块钱，它就是属于8月份的下面8月27号。我们改日期改成9月1号，它就会显示是我们9月份的数据。我现在看到，8月27号这一笔它是有旁边归属日期是可以修改的。那我给你。我可以改改，改了之后，它显示这个订单已经被其他的修改掉了，我截个图到群里。

夜航星(00:12:04): 我图已经截了，你看一下，我感觉逻辑没问题！

贺东群(00:12:10): 他有问题，他跨越了，

夜航星(00:12:11): 啥问题。

贺东群(00:12:14): 他应该被修改的，不是100块钱的日期，他应该要被修改的是8月27号这一笔改成9月1号，不是100块钱这一个单。

夜航星(00:12:27): 你应该去改2900的那一个不要去，

贺东群(00:12:33): 对。

夜航星(00:12:37): 我们，

贺东群(00:12:37): 但是。

夜航星(00:12:38): 我们首先明确一点嘛，订单，它这个归属日期是不是应该跟他首次支付保持一致？

贺东群(00:12:48): 对。

夜航星(00:12:49): 现在一致了？

贺东群(00:12:52): 但是现在的问题是这样子的，我们的月份他就是这么奇怪，像8月25号，他对我们来说是，是几是，他改订单的时候，他就他店里面的脑子就。只知道一个地方改，订单，他一改，然后整个单都变成9月1号了，我想去改第二个回款的话他也改不了。

夜航星(00:13:18): 可以改的？

贺东群(00:13:20): 我不行。你看我截图到群里面的。

夜航星(00:13:31): 我大概理解了你，你要改成几号还是9月1号？

贺东群(00:13:40): 要改成9月1号，前面那个100要改成8月25号。有好几个单，然后我还没记录，就是这个例子，到时候那些单还得调整一下。

夜航星(00:13:59): 我知道啥意思？现在的问题，他相当于我回款可以修改日期，这功能做是做，但是现在不能改成功？

贺东群(00:14:20): 对。因为房租15000嘛，他把。

夜航星(00:14:29): 我理解了，我理解了，

贺东群(00:14:31): 然后。

夜航星(00:14:32): 这可能是我因为这边定了只能修改一次，我可能判断的方式有点问题。

