[00:00] 好你说
[00:02] 开会是这样子的
[00:03] 开会比如说第一个最简单的板块
[00:06] 就是给大家展示一下顾客端
[00:08] 找什么样子对吧
[00:10] 顾客能够看到什么东西
[00:12] 这个是只要一些见面就可以了
[00:15] 就是它很简单
[00:16] 然后重点就是员工端
[00:20] 我们作为一本游师
[00:21] 或者说我们作为一个执行总监
[00:23] 因为在场的都是店长级别以上的
[00:26] 还有包括老总
[00:27] 他们肯定想知道
[00:29] 我自己在我的手机上能看到什么东西
[00:32] 那么我问中间猜个问题
[00:35] 就是你需要做到联动吗
[00:37] 就是我这里下了个单
[00:38] 然后那边能够实时的反馈
[00:41] 要做做做到这样即时联动吗
[00:44] 下着单然后反馈啥
[00:46] 就是在就是我客户端下个单
[00:50] 然后到员工端要去操作
[00:51] 就是全程你要全部演示给他们看吗
[00:55] 嗯
[00:56] 要演示一个简短的流程
[00:59] 比如说我下个单
[01:00] 那么我员工就可以在顾客档案那里看到
[01:03] 比如说日历对吧
[01:04] 那个日历上就突然出现了一个
[01:06] 今日消费
[01:07] 1万元
[01:08] 就是我也不用全流程所有界面全部展示
[01:12] 我起码要把这个
[01:13] 呃呃那个一个简短的一个过程展示一下
[01:18] 可以
[01:19] 然后你自单呢
[01:20] 你自单要做吗
[01:22] 自单
[01:23] 嗯
[01:24] 你就是你要展示
[01:27] 除除了这个东西我给你展示完
[01:29] 然后你要给他们看一下
[01:31] 怎么自单这些都不是不是一个个功能都展示吧
[01:35] 呃不是呀
[01:36] 但是我得自单他那个日历不是才会出来金额吗
[01:40] 啊
[01:41] 嗯
[01:41] 但是很多细节我可以不用给他看吗
[01:44] 我只有反正我呃
[01:46] 我就选个项目
[01:48] 然后然后分配一下美容师
[01:50] 然后那个付款1万元
[01:52] 我选择线下付款
[01:54] 哎
[01:54] 我回到顾客答案日历那里就可以看到
[01:57] 看日历上就标记的这个顾客是不是今天付了1万块钱
[02:00] 嗯
[02:01] 嗯
[02:02] 就这么简单
[02:03] 好
[02:03] OK
[02:04] OK
[02:04] 那那我就按照你这个要求去做
[02:06] 然后你最后还是你你跟我强调看板吗
[02:10] 看板我就只只做一个看板出来
[02:13] 上面有数据就可以了吧
[02:14] 啊
[02:15] 对
[02:16] 对吧
[02:17] 数据不一定要完全准确
[02:20] 对我我就把这个看板做出来就好了吗
[02:22] 然后我我现在还有AI的这个东西
[02:25] 然后然后你这个这个也可以展示的
[02:28] 就三三个部分可以展示了吗
[02:30] 对对
[02:31] 第三个第三个部分就相当于是呃呃
[02:36] 那个第三个部分怎么形容
[02:38] 就是超级网炸一样的
[02:40] 哎
[02:40] 这个市面上也没有
[02:42] 然后我们就是人工智能对吧
[02:44] 嗯
[02:44] 可以可以直接从那个数据端
[02:46] 给你提供一些角色建议
[02:49] 那你抓住数据也很简单
[02:51] 反正就是就是层层递进吗
[02:53] 第三个板块肯定是呃
[02:55] 要有一点真材实料牛逼的东西展示出来吗
[02:59] 好的好的
[02:59] 那我有数了啊
[03:01] 啊
[03:01] 那我跟你商量了我们就开始干活了啊
[03:05] 对对
[03:06] 然后看板那里的话看板那里的话数据不一定准确
[03:09] 但是但是但是起码能让大家看到哎我我选了南商市场之后
[03:14] 起码南商的门店都出来了
[03:16] 那数据呃
[03:18] 也不管不管折线图还是波线图还是那个柱状图
[03:22] 有那个东西在这里你数据对不对就
[03:24] 他们也不知道
[03:26] 另外一回事情我我懂的
